id,x,y,V,eV,BV,eBV,UB,eUB,VI,eVI
2847,3088.98,377.391,17.348,0.026,1.067,0.046,0.554,0.06,1.391,0.038
2848,3848.75,2404.7,17.378,0.02,0.94,0.054,0.177,0.068,1.263,0.027
2849,3954.53,1169.72,17.455,0.022,0.966,0.034,0.192,0.044,1.39,0.038
2850,1201.79,116.354,17.295,0.037,1.179,0.054,0.102,0.066,1.254,0.047
2852,2853.28,382.731,17.246,0.028,1.489,0.053,0.913,0.069,1.862,0.043
2853,3547.77,2836.62,17.398,0.013,0.987,0.025,0.478,0.039,1.16,0.025
2854,677.48,2138.89,17.225,0.035,1.037,0.054,1.031,0.063,1.309,0.038
2855,3288.68,2445.11,17.434,0.016,0.957,0.032,0.239,0.039,1.381,0.025
2856,3064.48,3002.98,17.388,0.016,0.975,0.028,0.372,0.035,1.23,0.026
2857,1925.15,3050.44,17.373,0.021,0.808,0.032,0.543,0.048,1.172,0.026
2858,1922.91,2332.86,17.305,0.026,1.082,0.034,1.188,0.046,1.486,0.032
2859,2129.42,2038.25,17.298,0.024,1.372,0.037,0.973,0.049,1.793,0.031
2860,1722.92,638.976,17.418,0.045,0.91,0.059,0.272,0.058,1.354,0.05
2861,3945.13,1867.01,17.442,0.019,1.033,0.035,0.11,0.045,1.446,0.03
2863,2152.79,969.745,17.485,0.037,0.822,0.047,0.313,0.044,1.311,0.044
2864,846.077,1521.9,17.364,0.039,1.0,0.058,0.643,0.062,1.501,0.041
2865,1927.79,842.549,17.355,0.044,1.076,0.056,0.666,0.062,1.512,0.049
2866,1589.45,3231.1,17.297,0.027,0.944,0.04,0.427,0.045,1.236,0.029
2867,4038.31,1155.44,17.446,0.022,1.012,0.035,0.185,0.041,1.447,0.037
2868,3156.81,1827.83,17.177,0.024,1.773,0.033,1.228,0.063,2.503,0.036
2869,1523.72,1397.74,17.384,0.032,1.042,0.045,0.411,0.052,1.475,0.037
2870,1712.41,1915.24,17.441,0.027,0.85,0.037,0.386,0.044,1.286,0.034
2871,2756.65,3714.18,17.507,0.021,0.766,0.029,0.386,0.043,1.091,0.033
2872,337.852,706.512,17.301,0.038,1.112,0.065,0.468,0.079,1.324,0.046
2874,857.107,2649.95,17.307,0.026,1.005,0.038,0.614,0.045,1.257,0.032
2875,2905.98,2260.77,17.325,0.022,0.978,0.034,0.889,0.041,1.287,0.033
2876,3689.48,453.768,17.473,0.018,0.936,0.034,0.228,0.049,1.321,0.036
2877,2062.31,2179.97,17.387,0.023,1.0,0.033,0.61,0.04,1.45,0.031
2878,2206.7,3468.85,17.416,0.02,1.019,0.027,0.414,0.042,1.398,0.028
2879,3688.36,2831.65,17.378,0.012,1.112,0.026,0.959,0.046,1.344,0.026
2881,1022.45,1532.59,17.89,0.042,0.979,0.063,1.616,0.085,2.31,0.043
2882,1085.38,3301.98,17.3,0.029,1.039,0.039,0.593,0.049,1.238,0.034
2884,1393.76,2362.49,17.436,0.027,0.882,0.038,0.332,0.042,1.242,0.035
2885,2316.63,1351.79,17.393,0.034,1.206,0.045,0.731,0.053,1.781,0.039
2886,2940.1,1881.26,17.355,0.024,1.137,0.036,0.899,0.051,1.596,0.034
2887,2697.57,3322.65,17.364,0.02,1.224,0.031,0.487,0.048,1.644,0.033
2888,4101.62,792.107,17.49,0.017,0.93,0.035,0.291,0.052,1.462,0.033
2889,2213.78,4001.38,17.327,0.023,1.234,0.034,0.475,0.045,1.544,0.033
2890,1985.37,1678.6,17.41,0.028,1.0,0.039,0.277,0.054,1.374,0.034
2891,1168.2,1990.73,17.407,0.033,0.931,0.047,0.475,0.055,1.395,0.037
2893,3459.98,3098.44,17.462,0.013,0.994,0.026,0.152,0.034,1.249,0.026
2896,784.497,379.204,17.272,0.04,1.284,0.06,0.358,0.068,1.389,0.05
2897,2725.43,2364.87,17.395,0.026,0.963,0.037,0.54,0.048,1.266,0.036
2898,2995.02,549.0,17.296,0.03,1.496,0.05,0.938,0.067,1.965,0.043
2899,686.106,1410.02,17.606,0.046,1.788,0.066,1.247,0.102,2.373,0.05
2902,3521.41,3601.55,17.403,0.018,0.961,0.029,0.251,0.034,1.167,0.025
2904,3777.76,2041.07,17.467,0.017,1.006,0.031,0.26,0.038,1.491,0.027
2905,2104.06,3233.5,17.436,0.017,0.925,0.025,0.509,0.046,1.245,0.025
2906,1046.57,2284.6,17.497,0.023,0.732,0.039,0.052,0.047,1.079,0.031
2907,558.425,228.249,17.434,0.044,0.848,0.057,0.228,0.055,0.891,0.055
2908,1297.64,1365.38,17.321,0.036,0.987,0.05,0.686,0.062,1.306,0.039
2909,3520.67,541.049,17.519,0.021,0.854,0.035,0.239,0.049,1.324,0.036
2910,3.001,3458.36,17.41,0.037,1.192,0.067,nan,nan,1.415,0.058
2911,2690.27,3929.0,17.413,0.02,1.056,0.03,0.301,0.037,1.318,0.034
2912,1387.34,249.787,17.087,0.042,1.791,0.058,1.152,0.077,1.931,0.055
2913,2711.61,3420.96,17.257,0.032,1.062,0.046,1.195,0.052,1.457,0.048
2915,2008.05,1563.81,17.452,0.029,0.82,0.045,0.331,0.063,1.271,0.036
2916,2414.62,1285.03,17.343,0.031,1.416,0.045,1.151,0.065,1.847,0.038
2917,3615.02,2542.17,17.35,0.015,1.741,0.027,1.252,0.067,2.14,0.025
2918,2674.57,1516.63,17.499,0.026,0.865,0.039,0.216,0.052,1.346,0.035
2920,2409.19,2098.8,17.46,0.025,0.819,0.039,0.436,0.05,1.232,0.034
2921,1818.14,241.865,17.332,0.044,1.008,0.071,0.465,0.073,1.291,0.052
2923,3885.3,3610.61,17.439,0.018,1.09,0.034,0.05,0.037,1.267,0.028
2925,3058.44,1823.35,17.525,0.023,0.867,0.034,0.258,0.04,1.385,0.033
2926,2910.59,329.114,17.427,0.03,1.06,0.052,0.328,0.063,1.447,0.042
2927,2782.69,3034.3,17.415,0.024,0.856,0.034,0.466,0.047,1.238,0.028
2930,2398.85,1888.49,17.48,0.027,0.888,0.039,0.311,0.052,1.327,0.035
2934,441.426,3077.04,17.35,0.035,0.922,0.049,0.509,0.053,1.247,0.038
2935,3278.54,2816.07,17.503,0.015,0.909,0.026,0.206,0.032,1.247,0.026
2936,2103.19,330.845,17.464,0.038,0.919,0.059,0.254,0.062,1.378,0.045
2937,3466.31,3628.39,17.207,0.023,1.632,0.035,0.906,0.046,1.914,0.032
2938,3113.33,1428.94,17.319,0.023,1.313,0.032,0.858,0.046,1.855,0.035
2939,848.325,1564.82,17.315,0.041,1.024,0.059,0.856,0.065,1.378,0.043
2940,3813.24,379.742,17.567,0.02,0.675,0.036,0.229,0.054,0.977,0.039
2941,1546.59,44.249,17.347,0.042,1.301,0.06,0.107,0.061,1.498,0.051
2942,2981.16,3326.86,17.374,0.018,1.244,0.027,0.43,0.041,1.547,0.027
2943,400.134,3659.79,17.235,0.038,1.167,0.048,1.645,0.089,1.189,0.042
