id x y V eV BV eBV UB eUB VI eVI ra dec d_arcsec
3727 421.147 2991.72 17.405 0.035 0.422 0.042 0.461 0.043 1.278 0.044 118.6651053165024 -26.838795150910002 0.5337
3790 279.061 3015.26 17.246 0.039 0.737 0.05 0.831 0.049 1.934 0.051 118.6843470432607 -26.83580832312203 0.2840
3803 1017.43 839.854 17.356 0.03 0.539 0.038 0.306 0.042 1.328 0.037 118.58664488932956 -27.0994936128468 0.3260
10308 3896.6 3881.39 20.067 0.17 -0.415 0.208 "" "" "" "" 118.1928140700394 -26.734717040041392 1.7352
4126 4065.73 1960.87 17.468 0.016 0.666 0.022 0.025 0.043 1.364 0.027 118.17202091345618 -26.967026518912007 0.1155
4196 3244.82 380.732 17.361 0.03 0.862 0.036 0.593 0.059 1.472 0.039 118.28510532903749 -27.15720701326962 0.6867
4218 835.462 244.495 17.362 0.03 0.827 0.044 0.692 0.053 1.578 0.041 118.6119852694352 -27.17127593338806 0.4239
4249 2153.21 3433.5 17.198 0.025 1.153 0.029 1.317 0.052 1.814 0.033 118.42973111625108 -26.787119727596004 0.4978
4370 1249.68 618.958 17.412 0.036 0.904 0.043 0.454 0.043 1.612 0.049 118.55539634891527 -27.126425428705485 0.3368
4565 664.641 4044.67 17.609 0.026 0.734 0.032 0.441 0.042 1.593 0.031 118.63091111360957 -26.711763186841072 1.2861
4574 1355.44 3866.53 17.522 0.026 0.805 0.035 0.188 0.041 1.428 0.029 118.53743201513925 -26.73398341230021 0.6184
9966 3450.22 241.265 19.08 0.044 0.842 0.06 0.476 0.1 1.635 0.05 118.25740703229671 -27.17426944285546 0.7064
4761 1137.39 3748.15 17.638 0.025 0.717 0.031 0.223 0.035 1.384 0.028 118.567133362333 -26.748075410197696 0.1962
4943 3645.64 213.16 17.699 0.035 0.848 0.044 0.31 0.049 1.633 0.041 118.23093788577084 -27.177861156782036 1.0595
5038 3804.87 2207.88 17.724 0.019 0.836 0.025 0.318 0.041 1.452 0.028 118.20712006751019 -26.936909714824697 0.2662
5412 3908.99 193.383 17.867 0.034 0.744 0.041 0.505 0.04 1.513 0.042 118.19524760532556 -27.180513858074185 0.6367
5595 4081.28 3507.46 17.91 0.016 0.946 0.026 0.133 0.041 1.595 0.023 118.16818709626287 -26.780099343455596 1.2780
5669 1471.76 2048.04 18.984 0.036 1.7 0.053 "" "" 3.705 0.039 118.52368650430651 -26.953907533688362 1.5334
5756 3537.05 3508.37 18.038 0.019 0.665 0.028 0.209 0.037 1.246 0.032 118.2419879683447 -26.779447547386013 0.7626
5927 2538.33 394.214 17.831 0.028 1.3 0.038 1.319 0.071 1.937 0.038 118.38089591568803 -27.154874052464585 0.6540
5930 619.255 514.855 18.032 0.03 0.731 0.043 0.562 0.053 1.546 0.038 118.6410030786418 -27.138381173018225 0.3706
